"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 12:13:33 GMT 2022","Tue Jul 19 12:13:33 GMT 2022","192","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"broken","Tue Jul 19 12:13:32 GMT 2022","Tue Jul 19 12:13:33 GMT 2022","856","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"broken","Tue Jul 19 12:13:33 GMT 2022","Tue Jul 19 12:13:34 GMT 2022","189","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
