"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 11:53:22 GMT 2022","Tue Jul 19 11:53:22 GMT 2022","270","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"broken","Tue Jul 19 11:53:22 GMT 2022","Tue Jul 19 11:53:22 GMT 2022","187","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"broken","Tue Jul 19 11:53:21 GMT 2022","Tue Jul 19 11:53:22 GMT 2022","916","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
